
NL:      032.21.3  ,  Abrams Hall 14 North Assisted                      ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      065.20.3  ,  NSF TO#182- Bldg 113 Reno                          ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      065.20.3  ,  NSF TO#182- Bldg 113 Reno                          ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      065.20.3  ,  NSF TO#182- Bldg 113 Reno                          ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      065.20.3  ,  NSF TO#182- Bldg 113 Reno                          ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      065.20.3  ,  NSF TO#182- Bldg 113 Reno                          ,01, =    , 01, = ,   FL01       , FLOOR 1                                ,            10.240  ,   Travel                         ,         15.00
NL:      065.20.3  ,  NSF TO#182- Bldg 113 Reno                          ,01, =    , 01, = ,   FL01       , FLOOR 1                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,         11.26
NL:      065.20.3  ,  NSF TO#182- Bldg 113 Reno                          ,01, =    , 01, = ,   FL01       , FLOOR 1                                ,            21.120  ,   Walls - 2nd Coat Finish        ,          9.19
NL:      065.20.3  ,  NSF TO#182- Bldg 113 Reno                          ,01, =    , 01, = ,   FL01       , FLOOR 1                                ,            21.130  ,   Walls - 3rd Coat Finish        ,          9.19
NL:      065.20.3  ,  NSF TO#182- Bldg 113 Reno                          ,01, =    , 01, = ,   FL01       , FLOOR 1                                ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,          4.52
NL:      065.20.3  ,  NSF TO#182- Bldg 113 Reno                          ,01, =    , 01, = ,   FL01       , FLOOR 1                                ,            26.130  ,   Floor Epoxy                    ,          4.44
NL:      065.20.3  ,  NSF TO#182- Bldg 113 Reno                          ,01, =    , 01, = ,   FL01       , FLOOR 1                                ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          8.57
NL:      065.20.3  ,  NSF TO#182- Bldg 113 Reno                          ,01, =    , 01, = ,   FL01       , FLOOR 1                                ,            29.500  ,   Interior Windows               ,         22.86
NL:      065.20.3  ,  NSF TO#182- Bldg 113 Reno                          ,01, =    , 01, = ,   FL01       , FLOOR 1                                ,            34.120  ,   Trim - 2nd Coat Finish         ,          7.41
NL:      065.20.3  ,  NSF TO#182- Bldg 113 Reno                          ,01, =    , 01, = ,   FL01       , FLOOR 1                                ,            40.700  ,   Siding                         ,         40.00
